season,date,game,brand,asset,exposure,duration,qimv,exposure_impressions,sponsorship_impressions,qi_sponsorship_impressions
2022-2023,2022-11-19 00:00:00,LA Lakers,Fan Duel,Player Tunnel,22,178,6185,1417128,382195,102885
2022-2023,2022-11-19 00:00:00,LA Lakers,Fan Duel,Player Tunnel,22,178,6185,1417128,382195,102885
2022-2023,2022-11-19 00:00:00,LA Lakers,Miller Lite,Player Tunnel,76,486,23702,4895533,1043522,394273
2022-2023,2022-11-19 00:00:00,LA Lakers,Miller Lite,Player Tunnel,76,486,23702,4895533,1043522,394273
2022-2023,2022-11-20 00:00:00,LA Lakers,Chase,Pole Pad,5,20,2812,350797,46773,46773
2022-2023,2022-11-20 00:00:00,LA Lakers,Chase,Pole Pad,17,147,6699,1192709,343781,111431
2022-2023,2022-11-20 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,19,1418,140319,44434,23594
2022-2023,2022-11-20 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,4,562,70159,9355,9355
2022-2023,2022-11-20 00:00:00,LA Lakers,Chevy,Pole Pad,1,4,562,70159,9355,9355
2022-2023,2022-11-20 00:00:00,LA Lakers,Citizens Bank,Pole Pad,1,8,553,70159,18709,9197
2022-2023,2022-11-20 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,18,1190,140319,42096,19789
2022-2023,2022-11-20 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,4,562,70159,9355,9355
2022-2023,2022-11-20 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,14,949,70159,32741,15781
2022-2023,2022-11-20 00:00:00,LA Lakers,Miller,Pole Pad,1,15,888,70159,35080,14779
2022-2023,2022-11-20 00:00:00,LA Lakers,Miller,Pole Pad,1,4,562,70159,9355,9355
2022-2023,2022-11-20 00:00:00,LA Lakers,Vizzy Seltzer,Pole Pad,1,24,1512,70159,56127,25156
2022-2023,2022-11-20 00:00:00,LA Lakers,Citizens,Endzone,154,1394,55664,10804537,3260070,925965
2022-2023,2022-11-20 00:00:00,LA Lakers,Citizens Financial,Endzone,154,717,32122,10804537,1676808,534345
2022-2023,2022-11-21 00:00:00,LA Lakers,Chase,Pole Pad,4,16,2640,329354,43914,43914
2022-2023,2022-11-21 00:00:00,LA Lakers,Chase,Pole Pad,14,113,5131,1152739,310142,85346
2022-2023,2022-11-21 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,20,1650,164677,54892,27442
2022-2023,2022-11-21 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,8,1320,164677,21957,21957
2022-2023,2022-11-21 00:00:00,LA Lakers,Citizens,Pole Pad,1,13,614,82339,35680,10212
2022-2023,2022-11-21 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,8,1320,164677,21957,21957
2022-2023,2022-11-21 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,19,810,164677,52148,13468
2022-2023,2022-11-21 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,14,1075,82339,38425,17887
2022-2023,2022-11-21 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,4,660,82339,10978,10978
2022-2023,2022-11-21 00:00:00,LA Lakers,Chevrolet,Lower Bowl LED,2,8,555,164677,21957,9239
2022-2023,2022-11-21 00:00:00,LA Lakers,Citizens,Endzone,185,1597,73169,15232623,4383153,1217161
2022-2023,2022-11-21 00:00:00,LA Lakers,Citizens Financial,Endzone,155,840,41091,12762468,2305478,683542
2022-2023,2022-11-22 00:00:00,LA Lakers,Chevrolet,TVGI,1,11,378,43715,16029,6280
2022-2023,2022-11-22 00:00:00,LA Lakers,Citizens Financial,Stanchion,129,513,16627,5639176,747519,276579
2022-2023,2022-11-22 00:00:00,LA Lakers,Citizens Financial,Stanchion,129,513,16627,5639176,747519,276579
2022-2023,2022-11-22 00:00:00,LA Lakers,Fan Duel,Stanchion,61,183,6149,2666587,266659,102294
2022-2023,2022-11-22 00:00:00,LA Lakers,Fan Duel,Stanchion,61,183,6149,2666587,266659,102294
2022-2023,2022-11-22 00:00:00,LA Lakers,Chase,Pole Pad,15,75,2102,655718,109286,34959
2022-2023,2022-11-22 00:00:00,LA Lakers,Chase,Pole Pad,3,12,1051,131144,17486,17486
2022-2023,2022-11-22 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,8,215,43715,11657,3585
2022-2023,2022-11-22 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,8,701,87429,11657,11657
2022-2023,2022-11-22 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,8,701,87429,11657,11657
2022-2023,2022-11-22 00:00:00,LA Lakers,Delta,Pole Pad,1,15,339,43715,21857,5639
2022-2023,2022-11-22 00:00:00,LA Lakers,Miller Lite,Pole Pad,1,15,575,43715,21857,9563
2022-2023,2022-11-22 00:00:00,LA Lakers,Chase,Player Tunnel,109,747,18800,4764885,1088492,312736
2022-2023,2022-11-22 00:00:00,LA Lakers,Chase,Player Tunnel,109,747,18800,4764885,1088492,312736
2022-2023,2022-11-22 00:00:00,LA Lakers,Chevy,Player Tunnel,1,3,75,43715,4371,1255
2022-2023,2022-11-22 00:00:00,LA Lakers,Chevy,Player Tunnel,1,3,75,43715,4371,1255
2022-2023,2022-11-22 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,84,499,16690,3672022,727119,277628
2022-2023,2022-11-22 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,84,499,16690,3672022,727119,277628
2022-2023,2022-11-22 00:00:00,LA Lakers,Coca-cola,Player Tunnel,101,435,11391,4415169,633861,189480
2022-2023,2022-11-22 00:00:00,LA Lakers,Coca-cola,Player Tunnel,101,435,11391,4415169,633861,189480
2022-2023,2022-11-22 00:00:00,LA Lakers,Draftkings,Player Tunnel,36,248,6096,1573724,361374,101402
2022-2023,2022-11-22 00:00:00,LA Lakers,Draftkings,Player Tunnel,36,248,6096,1573724,361374,101402
2022-2023,2022-11-22 00:00:00,LA Lakers,Fan Duel,Player Tunnel,21,194,4834,918005,282687,80414
2022-2023,2022-11-22 00:00:00,LA Lakers,Fan Duel,Player Tunnel,21,194,4834,918005,282687,80414
2022-2023,2022-11-22 00:00:00,LA Lakers,Miller Lite,Player Tunnel,136,714,22356,5945178,1040406,371896
2022-2023,2022-11-22 00:00:00,LA Lakers,Miller Lite,Player Tunnel,136,714,22356,5945178,1040406,371896
2022-2023,2022-11-23 00:00:00,LA Lakers,Chevrolet,TVGI,1,11,948,95634,35066,15773
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,TVGI,2,9,913,191267,28690,15186
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Stanchion,134,611,42616,12814902,1947738,708905
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Stanchion,134,611,42616,12814902,1947738,708905
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,Stanchion,49,253,17107,4686046,806510,284578
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,Stanchion,49,253,17107,4686046,806510,284578
2022-2023,2022-11-23 00:00:00,LA Lakers,Chase,Pole Pad,2,8,1533,191267,25502,25502
2022-2023,2022-11-23 00:00:00,LA Lakers,Chase,Pole Pad,12,91,4640,1147603,290089,77185
2022-2023,2022-11-23 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,12,715,191267,38253,11890
2022-2023,2022-11-23 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,4,767,95634,12751,12751
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Pole Pad,1,4,767,95634,12751,12751
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,2,149,191267,6376,2486
2022-2023,2022-11-23 00:00:00,LA Lakers,Delta,Pole Pad,1,4,767,95634,12751,12751
2022-2023,2022-11-23 00:00:00,LA Lakers,Delta,Pole Pad,2,25,1062,191267,79695,17672
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,4,767,95634,12751,12751
2022-2023,2022-11-23 00:00:00,LA Lakers,Chase,Player Tunnel,71,632,31742,6789986,2014681,528019
2022-2023,2022-11-23 00:00:00,LA Lakers,Chase,Player Tunnel,71,632,31742,6789986,2014681,528019
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,100,515,33173,9563360,1641710,551828
2022-2023,2022-11-23 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,100,515,33173,9563360,1641710,551828
2022-2023,2022-11-23 00:00:00,LA Lakers,Coca-cola,Player Tunnel,42,273,14116,4016611,870266,234810
2022-2023,2022-11-23 00:00:00,LA Lakers,Coca-cola,Player Tunnel,42,273,14116,4016611,870266,234810
2022-2023,2022-11-23 00:00:00,LA Lakers,Delta,Player Tunnel,93,212,13460,8893925,675811,223901
2022-2023,2022-11-23 00:00:00,LA Lakers,Delta,Player Tunnel,93,212,13460,8893925,675811,223901
2022-2023,2022-11-23 00:00:00,LA Lakers,Detla Air Lines,Player Tunnel,21,188,11216,2008306,599304,186584
2022-2023,2022-11-23 00:00:00,LA Lakers,Detla Air Lines,Player Tunnel,21,188,11216,2008306,599304,186584
2022-2023,2022-11-23 00:00:00,LA Lakers,Draftkings,Player Tunnel,24,190,9305,2295206,605679,154786
2022-2023,2022-11-23 00:00:00,LA Lakers,Draftkings,Player Tunnel,24,190,9305,2295206,605679,154786
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,Player Tunnel,27,195,10373,2582107,621618,172556
2022-2023,2022-11-23 00:00:00,LA Lakers,Fan Duel,Player Tunnel,27,195,10373,2582107,621618,172556
2022-2023,2022-11-23 00:00:00,LA Lakers,Miller Lite,Player Tunnel,56,445,31493,5355482,1418565,523885
2022-2023,2022-11-23 00:00:00,LA Lakers,Miller Lite,Player Tunnel,56,445,31493,5355482,1418565,523885
2022-2023,2022-11-23 00:00:00,LA Lakers,Delta Airlines,Lower Bowl LED,1,8,401,95634,25502,6677
2022-2023,2022-11-25 00:00:00,LA Lakers,Citizens Financial,Virtual Branding,2,9,1452,251724,37759,24162
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Upper Bowl LED,10,32,3133,1881309,200673,64313
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller Lite,Upper Bowl LED,1,3,328,188131,18813,6731
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Stanchion,82,642,33137,15426735,4026002,680133
2022-2023,2022-11-25 00:00:00,LA Lakers,Citizens Financial,Stanchion,21,131,7155,3950749,821505,146852
2022-2023,2022-11-25 00:00:00,LA Lakers,Draftkings,Stanchion,13,85,4442,2445702,533038,91176
2022-2023,2022-11-25 00:00:00,LA Lakers,Draftkings,Stanchion,38,59,3298,7148975,369991,67694
2022-2023,2022-11-25 00:00:00,LA Lakers,Fan Duel,Stanchion,8,43,2374,1505047,269654,48727
2022-2023,2022-11-25 00:00:00,LA Lakers,Fan Duel,Stanchion,110,224,10348,20694401,1404711,212393
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller,Stanchion,19,122,6985,3574487,765066,143370
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller Lite,Stanchion,28,192,10222,5267666,1204038,209802
2022-2023,2022-11-25 00:00:00,LA Lakers,United Air Lines,Stanchion,5,33,1739,940655,206944,35698
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Scoreboard,2,2,160,376262,12542,3280
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Scoreboard,31,73,3978,5832058,457785,81649
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Pole Pad,20,151,12134,2517238,633505,201849
2022-2023,2022-11-25 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,19,2511,251724,79713,41774
2022-2023,2022-11-25 00:00:00,LA Lakers,Chevy,Pole Pad,1,10,915,125862,41954,15217
2022-2023,2022-11-25 00:00:00,LA Lakers,Citizens,Pole Pad,1,19,2170,125862,79713,36094
2022-2023,2022-11-25 00:00:00,LA Lakers,Citizens Financial,Pole Pad,10,116,7638,1258619,486666,127058
2022-2023,2022-11-25 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,14,1534,125862,58736,25521
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller,Pole Pad,1,11,1431,125862,46149,23804
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Pole,90,970,74570,16931783,6082900,1530555
2022-2023,2022-11-25 00:00:00,LA Lakers,Chevy,Pole,4,72,5436,752524,451514,111584
2022-2023,2022-11-25 00:00:00,LA Lakers,Citizens Financial,Pole,19,222,16130,3574487,1392169,331068
2022-2023,2022-11-25 00:00:00,LA Lakers,Draftkings,Pole,13,128,9660,2445702,802692,198281
2022-2023,2022-11-25 00:00:00,LA Lakers,Fan Duel,Pole,5,68,4442,940655,426430,91171
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller,Pole,16,188,14463,3010095,1178954,296859
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller Lite,Pole,27,333,25266,5079535,2088253,518590
2022-2023,2022-11-25 00:00:00,LA Lakers,United Air Lines,Pole,8,46,3512,1505047,288467,72088
2022-2023,2022-11-25 00:00:00,LA Lakers,Draftkings,Player Tunnel,392,1170,48314,73747319,7337106,991644
2022-2023,2022-11-25 00:00:00,LA Lakers,Chevrolet,Lower Bowl LED,2,8,701,251724,33563,11653
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller,Jersey,11,32,3078,2069440,200673,63173
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller Lite,Jersey,369,3436,288523,69420308,21547261,5921957
2022-2023,2022-11-25 00:00:00,LA Lakers,Chase,Endzone,1,12,485,188131,75252,9956
2022-2023,2022-11-25 00:00:00,LA Lakers,Miller,Endzone,14,29,2827,2633833,181860,58023
2022-2023,2022-11-26 00:00:00,LA Lakers,Draftkings,Stanchion,87,587,36712,7987771,1796483,610694
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,Pole Pad,12,55,2997,1101761,168325,49851
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,Pole Pad,12,55,2997,1101761,168325,49851
2022-2023,2022-11-26 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,12,850,91813,36725,14136
2022-2023,2022-11-26 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,12,850,91813,36725,14136
2022-2023,2022-11-26 00:00:00,LA Lakers,Citizens Financial,Pole Pad,1,1,80,91813,3060,1328
2022-2023,2022-11-26 00:00:00,LA Lakers,Citizens Financial,Pole Pad,1,1,80,91813,3060,1328
2022-2023,2022-11-26 00:00:00,LA Lakers,Coca-cola,Pole Pad,1,8,326,91813,24484,5421
2022-2023,2022-11-26 00:00:00,LA Lakers,Coca-cola,Pole Pad,1,8,326,91813,24484,5421
2022-2023,2022-11-26 00:00:00,LA Lakers,Delta,Pole Pad,5,319,16890,459067,976283,280968
2022-2023,2022-11-26 00:00:00,LA Lakers,Delta,Pole Pad,5,319,16890,459067,976283,280968
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,Player Tunnel,61,608,31259,5600621,1860753,519993
2022-2023,2022-11-26 00:00:00,LA Lakers,Chevy,Player Tunnel,74,270,15527,6794196,826321,258294
2022-2023,2022-11-26 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,21,174,9295,1928083,532518,154622
2022-2023,2022-11-26 00:00:00,LA Lakers,Coca-cola,Player Tunnel,29,215,10623,2662590,657996,176708
2022-2023,2022-11-26 00:00:00,LA Lakers,Draftkings,Player Tunnel,14,164,7822,1285388,501914,130122
2022-2023,2022-11-26 00:00:00,LA Lakers,Fan Duel,Player Tunnel,32,222,11156,2938031,679420,185586
2022-2023,2022-11-26 00:00:00,LA Lakers,Miller Lite,Player Tunnel,52,361,18929,4774300,1104822,314876
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,Player Seatbacks,107,597,30461,9824040,1827088,506717
2022-2023,2022-11-26 00:00:00,LA Lakers,Miller Lite,Player Seatbacks,106,645,30101,9732226,1973989,500729
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,On-Court,317,1346,104620,116488685,16487252,4751976
2022-2023,2022-11-26 00:00:00,LA Lakers,Citizens Financial,On-Court,251,754,61609,92235520,9235801,2798377
2022-2023,2022-11-26 00:00:00,LA Lakers,Chase,LED,95,281,14691,34909858,3441990,667271
2022-2023,2022-11-26 00:00:00,LA Lakers,Chevy,LED,70,232,10557,25723053,2841785,479516
2022-2023,2022-11-26 00:00:00,LA Lakers,Citizens Financial,LED,72,261,11114,26457998,3197008,504803
2022-2023,2022-11-26 00:00:00,LA Lakers,Coca-cola,LED,136,426,18196,49976218,5218105,826482
2022-2023,2022-11-26 00:00:00,LA Lakers,Draftkings,LED,51,152,7469,18741082,1861859,339261
2022-2023,2022-11-26 00:00:00,LA Lakers,Fan Duel,LED,55,189,7886,20210971,2315075,358175
2022-2023,2022-11-26 00:00:00,LA Lakers,Miller Lite,LED,86,269,12271,31602609,3295001,557343
2022-2023,2022-11-26 00:00:00,LA Lakers,Miller,Jersey,403,2003,72738,148091293,24534893,3303863
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Upper Bowl LED,2,12,686,319816,63963,13215
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Upper Bowl LED,2,6,511,319816,31982,9841
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller Lite,Upper Bowl LED,4,9,701,639633,47972,13511
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Stanchion,41,302,14557,6556235,1609742,280401
2022-2023,2022-11-27 00:00:00,LA Lakers,Citizens Financial,Stanchion,14,94,4470,2238715,501046,86105
2022-2023,2022-11-27 00:00:00,LA Lakers,Draftkings,Stanchion,10,117,5116,1599082,623642,98541
2022-2023,2022-11-27 00:00:00,LA Lakers,Draftkings,Stanchion,13,22,1323,2078806,117266,25484
2022-2023,2022-11-27 00:00:00,LA Lakers,Fan Duel,Stanchion,6,45,1920,959449,239862,36987
2022-2023,2022-11-27 00:00:00,LA Lakers,Fan Duel,Stanchion,34,68,3740,5436878,362459,72047
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Stanchion,12,99,4695,1918898,527697,90441
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller Lite,Stanchion,21,137,7035,3358072,730247,135509
2022-2023,2022-11-27 00:00:00,LA Lakers,United Air Lines,Stanchion,6,44,2001,959449,234532,38534
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Scoreboard,15,55,2748,2398623,293165,52933
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Scoreboard,2,31,1696,319816,165238,32668
2022-2023,2022-11-27 00:00:00,LA Lakers,Chevy,Scoreboard,1,4,327,159908,21321,6294
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Pole Pad,15,102,9087,1940508,439848,151167
2022-2023,2022-11-27 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,18,2469,258734,77620,41078
2022-2023,2022-11-27 00:00:00,LA Lakers,Citizens Financial,Pole Pad,1,14,1610,129367,60371,26775
2022-2023,2022-11-27 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,14,1535,129367,60371,25531
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Pole Pad,1,7,960,129367,30186,15968
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller Lite,Pole Pad,1,15,2004,129367,64684,33338
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Pole,30,488,33175,4797245,2601173,639006
2022-2023,2022-11-27 00:00:00,LA Lakers,Chevy,Pole,7,88,6173,1119357,469064,118908
2022-2023,2022-11-27 00:00:00,LA Lakers,Citizens Financial,Pole,25,183,11933,3997705,975440,229855
2022-2023,2022-11-27 00:00:00,LA Lakers,Draftkings,Pole,9,135,8320,1439174,719587,160249
2022-2023,2022-11-27 00:00:00,LA Lakers,Fan Duel,Pole,9,58,3687,1439174,309156,71013
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Pole,13,161,10699,2078806,858174,206086
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller Lite,Pole,26,296,20821,4157613,1577761,401051
2022-2023,2022-11-27 00:00:00,LA Lakers,United Air Lines,Pole,7,56,3473,1119357,298495,66893
2022-2023,2022-11-27 00:00:00,LA Lakers,Draftkings,Player Tunnel,30,49,1907,4797245,261183,36734
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,On-Court,3,3,131,479725,15991,2527
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Jersey,7,10,800,1119357,53303,15404
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller Lite,Jersey,344,3060,238190,55008415,16310635,4587924
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Exit Tunnel,2,22,2172,319816,117266,41829
2022-2023,2022-11-27 00:00:00,LA Lakers,Chase,Endzone,5,24,841,799541,127927,16196
2022-2023,2022-11-27 00:00:00,LA Lakers,Miller,Endzone,12,20,1422,1918898,106605,27385
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Virtual Branding,1,3,486,124803,12480,8077
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Virtual Branding,1,3,486,124803,12480,8077
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevrolet,TVGI,1,11,1303,124803,45761,21672
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevrolet,TVGI,1,11,1303,124803,45761,21672
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,Stanchion,25,139,4262,1149780,213092,70897
2022-2023,2022-11-28 00:00:00,LA Lakers,Draftkings,Stanchion,124,681,60644,15475538,2833022,1008798
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Pole Pad,7,39,2740,873619,162244,45585
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Pole Pad,7,39,2740,873619,162244,45585
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,12,1155,124803,49921,19215
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevrolet,Pole Pad,1,12,1155,124803,49921,19215
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Pole Pad,3,20,2140,374408,83202,35593
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Pole Pad,3,20,2140,374408,83202,35593
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,11,1204,249605,45761,20034
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,11,1204,249605,45761,20034
2022-2023,2022-11-28 00:00:00,LA Lakers,Delta,Pole Pad,2,50,2559,249605,208005,42564
2022-2023,2022-11-28 00:00:00,LA Lakers,Delta,Pole Pad,2,50,2559,249605,208005,42564
2022-2023,2022-11-28 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,13,1463,124803,54081,24331
2022-2023,2022-11-28 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,13,1463,124803,54081,24331
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Player Tunnel,63,637,45545,7862572,2649978,757629
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Player Tunnel,65,343,9511,2989427,525833,158213
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Player Tunnel,72,260,20796,8985796,1081624,345937
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,Player Tunnel,35,136,3720,1609691,208493,61889
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,22,132,10331,2745660,549132,171856
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,Player Tunnel,85,313,7844,3909250,479841,130485
2022-2023,2022-11-28 00:00:00,LA Lakers,Coca-cola,Player Tunnel,21,278,18461,2620857,1156505,307092
2022-2023,2022-11-28 00:00:00,LA Lakers,Coca-cola,Player Tunnel,79,255,5982,3633303,390925,99513
2022-2023,2022-11-28 00:00:00,LA Lakers,Draftkings,Player Tunnel,20,152,10674,2496055,632334,177552
2022-2023,2022-11-28 00:00:00,LA Lakers,Draftkings,Player Tunnel,55,145,4463,2529515,222291,74247
2022-2023,2022-11-28 00:00:00,LA Lakers,Fan Duel,Player Tunnel,37,95,2583,1701674,145639,42965
2022-2023,2022-11-28 00:00:00,LA Lakers,Fan Duel,Player Tunnel,30,190,14091,3744082,790417,234397
2022-2023,2022-11-28 00:00:00,LA Lakers,Miller Lite,Player Tunnel,40,354,29902,4992109,1472672,497411
2022-2023,2022-11-28 00:00:00,LA Lakers,Miller Lite,Player Tunnel,115,448,11969,5288986,686802,199108
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Player Seatbacks,152,933,60132,18970015,3881365,1000278
2022-2023,2022-11-28 00:00:00,LA Lakers,Miller Lite,Player Seatbacks,127,567,39017,15849946,2358772,649046
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,Penalty Box,2,19,2608,341588,108169,40964
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,On-Court,298,1198,127531,50896585,6820370,2003389
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,On-Court,249,714,77195,42527683,4064895,1212662
2022-2023,2022-11-28 00:00:00,LA Lakers,Chase,LED,82,234,17795,14005101,1332192,279544
2022-2023,2022-11-28 00:00:00,LA Lakers,Chevy,LED,28,73,5201,4782229,415599,81700
2022-2023,2022-11-28 00:00:00,LA Lakers,Citizens Financial,LED,29,80,4581,4953023,455450,71961
2022-2023,2022-11-28 00:00:00,LA Lakers,Coca-cola,LED,59,131,8179,10076841,745800,128483
2022-2023,2022-11-28 00:00:00,LA Lakers,Draftkings,LED,51,127,11343,8710489,723028,178184
2022-2023,2022-11-28 00:00:00,LA Lakers,Fan Duel,LED,14,19,1576,2391115,108169,24750
2022-2023,2022-11-28 00:00:00,LA Lakers,Miller Lite,LED,75,223,15613,12809543,1269568,245260
2022-2023,2022-11-28 00:00:00,LA Lakers,Miller,Jersey,279,720,39841,47651501,4099054,625862
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevy,Virtual Branding,1,3,396,102167,10217,6583
2022-2023,2022-11-29 00:00:00,LA Lakers,Chase,Pole Pad,5,20,4095,510837,68112,68112
2022-2023,2022-11-29 00:00:00,LA Lakers,Chase,Pole Pad,16,127,9795,1634677,432508,162946
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,20,2013,204335,68112,33492
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevrolet,Pole Pad,2,8,1638,204335,27245,27245
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevy,Pole Pad,1,4,819,102167,13622,13622
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevy,Pole Pad,1,20,1696,102167,68112,28212
2022-2023,2022-11-29 00:00:00,LA Lakers,Citizens,Pole Pad,2,35,3143,204335,119195,52279
2022-2023,2022-11-29 00:00:00,LA Lakers,Citizens Financial,Pole Pad,2,6,455,204335,20433,7564
2022-2023,2022-11-29 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,4,819,102167,13622,13622
2022-2023,2022-11-29 00:00:00,LA Lakers,Fan Duel,Pole Pad,1,14,1248,102167,47678,20764
2022-2023,2022-11-29 00:00:00,LA Lakers,Chevrolet,Lower Bowl LED,1,4,292,102167,13622,4865
2022-2023,2022-11-29 00:00:00,LA Lakers,Citizens,Endzone,197,1369,78862,20126965,4662236,1311847
2022-2023,2022-11-29 00:00:00,LA Lakers,Citizens Financial,Endzone,164,522,36228,16755443,1777712,602642
2022-2023,2022-11-30 00:00:00,LA Lakers,Chase,Upper Bowl LED,10,25,1937,1728621,144052,42100
2022-2023,2022-11-30 00:00:00,LA Lakers,Fan Duel,Upper Bowl LED,1,3,273,172862,17286,5938
2022-2023,2022-11-30 00:00:00,LA Lakers,Miller,Upper Bowl LED,1,3,259,172862,17286,5632
